athlete_id,name,birth_year,birth_city,birth_state,height,weight,sport_clean,is_paralympic
84427,Percy Bryant,1897,Saranac Lake,NY,,,Bobsleigh,False
97839,Paul Stevens,1889,Lake Placid,NY,,,Bobsleigh,False
87163,Ed Horton,1895,Saranac Lake,NY,,,Bobsleigh,False
1005144,Albert Ashforth,1905,New York,NY,,,Bobsleigh,False
1005145,Howard Lipson,1903,New York,NY,,,Bobsleigh,False
1005146,Clement Hackney,1905,Milwaukee,WI,,58 kg,Bobsleigh,False
96222,Richard Parsons,1910,Salisbury,CT,183 cm,77 kg,Cross Country Skiing,False
84125,Nort Billings,1904,Lyons,CO,180 cm,76 kg,Cross Country Skiing,False
84192,Ed Blood,1908,Bradford,VT,,,Cross Country Skiing,False
96771,"Robert Reid, Sr.",1898,Berlin,NH,,,Cross Country Skiing,False
900765,Harry Burt,1884,Ogdensburg,NY,,,Curling,False
900769,Sherwood Curran,1867,Utica,NY,,,Curling,False
900779,Albert Hatfield,1876,New Hartford,NY,,,Curling,False
900794,Francis Parks,1876,Holyoke,MA,,,Curling,False
900770,Charles Curtis,1891,Boston,MA,,,Curling,False
900810,George Willett,1870,Walpole,MA,,,Curling,False
900796,Alexander Porter,1873,Boston,MA,,,Curling,False
900811,Clarence Williams,1883,New Hartford,NY,,,Curling,False
900795,Francis Peale,1892,Lansdowne,PA,,,Curling,False
900792,George Ogden,1891,New Hartford,NY,,,Curling,False
900766,John Calder,1892,Utica,NY,,,Curling,False
900787,William Morley,1872,Marine City,MI,,,Curling,False
900793,Ervin Palmer,1872,Detroit,MI,,,Curling,False
900776,Roger Haines,1911,Dorchester,MA,,,Dogsled Racing,False
900762,Stuart Belknap,1888,Syracuse,NY,,,Dogsled Racing,False
900799,Dexter Sears,1912,Lake Placid,NY,,,Dogsled Racing,False
900807,Norman Vaughan,1905,Salem,MA,,,Dogsled Racing,False
900759,Eva Seeley,1892,Worcester,MA,,,Dogsled Racing,False
900833,Earl Bunnell,1893,Colebrook,NH,175 cm,61 kg,Dogsled Racing,False
92035,James Madden,1909,Boston,MA,,,Figure Skating,False
84259,"Gail Borden, II",1907,New York,NY,,,Figure Skating,False
95722,William Nagle,1885,Jersey City,NJ,,,Figure Skating,False
86642,George Hill,1907,Boston,MA,,,Figure Skating,False
80633,Margaret Bennett,1910,Minneapolis,MN,,,Figure Skating,False
80919,Suzanne Davis,1912,Waban,MA,,,Figure Skating,False
83019,Louise Weigel,1912,Buffalo,NY,,,Figure Skating,False
82062,Audrey Peppe,1917,New York,NY,,,Figure Skating,False
97197,Joseph Savage,1879,New York,NY,,,Figure Skating,False
85625,"Frank Farrel, III",1908,Ansonia,CT,168 cm,71 kg,Ice Hockey,False
85949,Jack Garrison,1909,West Newton,MA,185 cm,74 kg,Ice Hockey,False
84707,John Chase,1906,Milton,MA,,,Ice Hockey,False
85584,Doug Everett,1905,Cambridge,MA,,70 kg,Ice Hockey,False
96159,"Winthrop Palmer, Jr.",1906,Summit,NJ,,,Ice Hockey,False
84006,Johnny Bent,1908,Eagles Mere,PA,,67 kg,Ice Hockey,False
84855,John Cookman,1909,Englewood,NJ,,67 kg,Ice Hockey,False
85738,Joe Fitzgerald,1904,Brighton,MA,,81 kg,Ice Hockey,False
85829,Ted Frazier,1907,Stoneham,MA,,,Ice Hockey,False
86403,Gerard Hallock,1905,Pottstown,PA,,70 kg,Ice Hockey,False
89692,Bob Livingston,1908,Lawrence,NY,,,Ice Hockey,False
