hometown_id,city_name,state_code,latitude,longitude,state_latitude,state_longitude,total_athletes,ht_name,region,elevation,distance_to_west_coast_km,distance_to_east_coast_km,distance_to_nearest_coast_km,climate_zone
HT_HI_Nānākuli,Nānākuli,HI,21.389147,-158.152313,21.489,-157.9629,1,"Nānākuli, HI",Alaska/Hawaii,8.0,3876.288312383831,8013.43230018226,3876.288312383831,Tropical/Subtropical
HT_HI_Oahu,Oahu,HI,21.4834365,-158.0364837,21.489,-157.9629,1,"Oahu, HI",Alaska/Hawaii,259.0,3860.4392146877112,7997.5514241333,3860.4392146877112,Tropical/Subtropical
HT_MI_Oak_Park,Oak Park,MI,42.4595317,-83.1821445,43.3266,-84.5361,1,"Oak Park, MI",Midwest,203.0,3354.6795050865285,788.9209681275747,788.9209681275747,Temperate
HT_CA_Oakland,Oakland,CA,37.8044557,-122.271356,36.1162,-119.6816,1,"Oakland, CA",West,18.0,13.446413916810673,4125.770738178217,13.446413916810673,Subtropical
HT_MI_Oakland_Township,Oakland Township,MI,42.7562531,-83.1553213,43.3266,-84.5361,1,"Oakland Township, MI",Midwest,287.0,3354.456489194714,793.8125892691593,793.8125892691593,Temperate
HT_FL_Ocala,Ocala,FL,29.1871986,-82.1400923,27.9947,-81.7603,1,"Ocala, FL",South,24.0,3831.4762186917756,1477.1972003701055,1284.0352927045478,Tropical/Subtropical
HT_CA_Oceanside,Oceanside,CA,33.1958696,-117.379483,36.1162,-119.6816,1,"Oceanside, CA",West,23.0,683.3374428224226,3910.9598418191454,683.3374428224226,Tropical/Subtropical
HT_WI_Oconomowoc,Oconomowoc,WI,43.1116731,-88.4992659,44.2685,-89.6165,1,"Oconomowoc, WI",Midwest,264.0,2917.226779216436,1229.8991380997065,1229.8991380997065,Temperate
HT_TX_Odem,Odem,TX,27.9503135,-97.5832437,31.9686,-99.9018,1,"Odem, TX",South,26.0,2556.5273175004136,2577.508403219436,294.76110016747805,Tropical/Subtropical
HT_UT_Ogden,Ogden,UT,41.2230048,-111.9738429,39.321,-111.0937,1,"Ogden, UT",West,1314.0,975.7866201844588,3170.7350156328253,975.7866201844588,Temperate
HT_WI_Ogema,Ogema,WI,45.4435776,-90.2982037,44.2685,-89.6165,1,"Ogema, WI",Midwest,479.0,2788.2593082820563,1423.8766173310391,1423.8766173310391,Cold Temperate
